model,feature_type,feature,coefficient,abs_coefficient
M3_l1_tokens_bigrams_plus_qid_fe,token,isolate,0.2324079453063285,0.2324079453063285
M3_l1_tokens_bigrams_plus_qid_fe,token,rearrange factor,0.2316850075631306,0.2316850075631306
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze compute,0.22891576662775637,0.22891576662775637
M3_l1_tokens_bigrams_plus_qid_fe,token,guess,-0.22869377631288496,0.22869377631288496
M3_l1_tokens_bigrams_plus_qid_fe,qid,561,0.22475199585542496,0.22475199585542496
M3_l1_tokens_bigrams_plus_qid_fe,qid,375,0.22204646117970914,0.22204646117970914
M3_l1_tokens_bigrams_plus_qid_fe,qid,252,0.21180550434528408,0.21180550434528408
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula,0.19730994730585916,0.19730994730585916
M3_l1_tokens_bigrams_plus_qid_fe,token,simplify simplify,-0.18740325067943356,0.18740325067943356
M3_l1_tokens_bigrams_plus_qid_fe,token,substitute substitute,-0.1820046827216254,0.1820046827216254
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula simplify,0.1782503135353421,0.1782503135353421
M3_l1_tokens_bigrams_plus_qid_fe,token,find-common-denominator,0.17574879255280884,0.17574879255280884
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate compute,0.1734953410220763,0.1734953410220763
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula apply-formula,-0.17275784583953885,0.17275784583953885
M3_l1_tokens_bigrams_plus_qid_fe,token,compute check,-0.16813640786795758,0.16813640786795758
M3_l1_tokens_bigrams_plus_qid_fe,token,define,-0.16487403668441314,0.16487403668441314
M3_l1_tokens_bigrams_plus_qid_fe,token,compute,0.15500946454898204,0.15500946454898204
M3_l1_tokens_bigrams_plus_qid_fe,token,compute compute,-0.14190795351290716,0.14190795351290716
M3_l1_tokens_bigrams_plus_qid_fe,token,compute simplify,-0.1414492366399864,0.1414492366399864
M3_l1_tokens_bigrams_plus_qid_fe,token,case-split instantiate,0.13788478074293212,0.13788478074293212
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula solve-for,-0.1359576978220987,0.1359576978220987
M3_l1_tokens_bigrams_plus_qid_fe,token,extract,0.1355019504129087,0.1355019504129087
