motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
analyze => simplify|conclude,3,32,8,0.3404255319148936,0.25,0.09042553191489361,1.3617021222127659,0.4046804866477465,0.3868382136585399,analyze,simplify|conclude,1,2,0.47761194029850745,0.25806451612903225,0.7740607295741033,1.0322580603870966,0.2195474241694752,0.49216545005071655,0.09042553191489361,0.4046804866477465
analyze => rewrite|compute,3,41,23,0.43617021276595747,0.71875,-0.28257978723404253,0.6068455125691993,-1.1596968492089264,0.007534575381219478,analyze,rewrite|compute,1,2,0.6119402985074627,0.7419354838709677,1.3695806650228788,1.032258063079944,-0.12999518536350507,0.02082135347283232,0.28257978723404253,1.1596968492089264
analyze => compute|compute|compute,4,15,24,0.1595744680851064,0.75,-0.5904255319148937,0.21276595716312058,-2.693523951789496,1.883357778385641e-09,analyze,compute|compute|compute,1,3,0.22388059701492538,0.7741935483870968,0.526119401748694,0.9909677406670452,-0.5503129513721714,3.83861337878708e-08,0.5904255319148937,2.693523951789496
analyze => analyze|rewrite|compute,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,analyze,analyze|rewrite|compute,1,3,0.07462686567164178,0.0,0.17109574041588604,0.0,0.07462686567164178,0.438663216985863,0.05319148936170213,1.3848967368532525
analyze => apply-formula|compute|conclude,4,49,13,0.5212765957446809,0.40625,0.11502659574468088,1.2831423863668638,0.4519851237430572,0.30875894142964844,analyze,apply-formula|compute|conclude,1,3,0.7313432835820896,0.41935483870967744,1.4029850719354249,1.032258061975186,0.3119884448724121,0.438663216985863,0.11502659574468088,0.4519851237430572
analyze => rewrite|compute|conclude,4,41,19,0.43617021276595747,0.59375,-0.15757978723404253,0.7346024623685979,-0.6217130067906257,0.1527522173113797,analyze,rewrite|compute|conclude,1,3,0.6119402985074627,0.6129032258064516,1.3695806650228788,1.0322580627775892,-0.000962927298988947,0.25998225065579195,0.15757978723404253,0.6217130067906257
analyze => instantiate,2,24,29,0.2553191489361702,0.90625,-0.6509308510638299,0.2817314743773117,-3.188566887117948,6.047507409264442e-11,analyze,instantiate,1,1,0.3582089552238806,0.9354838709677419,1.346865666577576,1.0322580633770857,-0.5772749157438612,2.2202991488299448e-09,0.6509308510638299,3.188566887117948
analyze => analyze|apply-formula|rewrite,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|apply-formula|rewrite,1,3,0.08955223880597014,0.0,0.19131614613130626,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => apply-formula|rewrite,3,44,8,0.46808510638297873,0.25,0.21808510638297873,1.8723404180425531,0.932122806945291,0.03786467938353405,analyze,apply-formula|rewrite,1,2,0.6567164179104478,0.25806451612903225,1.4029850716295793,1.0322580603870966,0.3986519017814155,0.0813338140538689,0.21808510638297873,0.932122806945291
analyze => apply-formula|rewrite|conclude,4,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,analyze,apply-formula|rewrite|conclude,1,3,0.6567164179104478,0.1935483870967742,1.4029850716295793,1.0322580590107526,0.4631680308136736,0.017636903443730777,0.28058510638297873,1.2788584089814656
analyze => rewrite|compute|compute,4,26,22,0.2765957446808511,0.6875,-0.4109042553191489,0.4023210825869527,-1.7118290643228997,5.4389530890123486e-05,analyze,rewrite|compute|compute,1,3,0.3880597014925373,0.7096774193548387,1.3510226597519397,1.032258063014663,-0.3216177178623014,0.00028526753956656603,0.4109042553191489,1.7118290643228997
analyze => instantiate|conclude,3,23,24,0.24468085106382978,0.75,-0.5053191489361702,0.32624113431678486,-2.1713039826042593,1.076402452343002e-06,analyze,instantiate|conclude,1,2,0.34328358208955223,0.7741935483870968,1.3445273579180141,1.0322580631397849,-0.4309099662975445,9.070014106627919e-06,0.5053191489361702,2.1713039826042593
analyze => instantiate|compute,3,21,25,0.22340425531914893,0.78125,-0.5578457446808511,0.2859574464424851,-2.4530079027072897,5.5190515530082756e-08,analyze,instantiate|compute,1,2,0.31343283582089554,0.8064516129032258,1.339213020058098,1.0322580631948386,-0.4930187770823302,6.919006093283545e-07,0.5578457446808511,2.4530079027072897
analyze => instantiate|rewrite,3,17,27,0.18085106382978725,0.84375,-0.6628989361702128,0.21434200132200917,-3.0975149678639333,2.3492174867581118e-11,analyze,instantiate|rewrite,1,2,0.2537313432835821,0.8709677419354839,1.3250414524501568,1.032258063292712,-0.6172363986519018,1.5093722352420869e-09,0.6628989361702128,3.0975149678639333
analyze => instantiate|apply-formula,3,23,20,0.24468085106382978,0.625,-0.38031914893617025,0.39148936107574467,-1.607393270385956,0.0001773011919700017,analyze,instantiate|apply-formula,1,2,0.34328358208955223,0.6451612903225806,1.4029850688929266,1.0322580628645162,-0.3018777082330284,0.0008597435157790648,0.38031914893617025,1.607393270385956
analyze => rewrite|apply-formula,3,27,15,0.2872340425531915,0.46875,-0.18151595744680848,0.6127659561395745,-0.7765807362016911,0.08191928487111558,analyze,rewrite|apply-formula,1,2,0.40298507462686567,0.4838709677419355,1.402985069742399,1.0322580623139785,-0.08088589311506983,0.15652978596190859,0.18151595744680848,0.7765807362016911
analyze => rewrite|apply-formula|conclude,4,27,14,0.2872340425531915,0.4375,-0.15026595744680848,0.6565349529066435,-0.654319510548208,0.13069598332730128,analyze,rewrite|apply-formula|conclude,1,3,0.40298507462686567,0.45161290322580644,1.402985069742399,1.032258062156682,-0.04862782859894077,0.2308513245025184,0.15026595744680848,0.654319510548208
analyze => instantiate|compute|compute,4,15,25,0.1595744680851064,0.78125,-0.6216755319148937,0.20425531888748938,-2.858692429357201,2.743759731498636e-10,analyze,instantiate|compute|compute,1,3,0.22388059701492538,0.8064516129032258,1.3152984997353079,1.0322580631948386,-0.5825710158883004,8.295838247001759e-09,0.6216755319148937,2.858692429357201
analyze => instantiate|compute|conclude,4,20,20,0.2127659574468085,0.625,-0.4122340425531915,0.3404255313702128,-1.7850704810772584,4.151065307072717e-05,analyze,instantiate|compute|conclude,1,3,0.29850746268656714,0.6451612903225806,1.3361762555684165,1.0322580628645162,-0.3466538276360135,0.00022459448082477648,0.4122340425531915,1.7850704810772584
analyze => instantiate|rewrite|conclude,4,17,23,0.18085106382978725,0.71875,-0.5378989361702128,0.25161887106527775,-2.3937856779734514,5.351274452874544e-08,analyze,instantiate|rewrite|conclude,1,3,0.2537313432835821,0.7419354838709677,1.3250414524501568,1.032258063079944,-0.48820414058738565,6.919006093283545e-07,0.5378989361702128,2.3937856779734514
analyze => compute|simplify,3,8,7,0.0851063829787234,0.21875,-0.13364361702127658,0.3890577489813287,-1.0963028188194472,0.05851302866288069,analyze,compute|simplify,1,2,0.11940298507462686,0.22580645161290322,0.3401175928801173,1.032258059797235,-0.10640346653827636,0.1203027869308827,0.13364361702127658,1.0963028188194472
analyze => derive-intermediate,2,11,4,0.11702127659574468,0.125,-0.007978723404255317,0.9361702052765958,-0.13667290598927456,1.0,analyze,derive-intermediate,1,1,0.16417910447761194,0.12903225806451613,0.4409381651270667,0.8258064463277419,0.03514684641309582,1.0,0.007978723404255317,0.13667290598927456
analyze => instantiate|apply-formula|conclude,4,22,17,0.23404255319148937,0.53125,-0.29720744680851063,0.4405506875311787,-1.291432109654522,0.003439736350606494,analyze,instantiate|apply-formula|conclude,1,3,0.3283582089552239,0.5483870967741935,1.402985068632293,1.032258062573055,-0.22002888781896962,0.01078063709885206,0.29720744680851063,1.291432109654522
analyze => compute|compute|simplify,4,6,7,0.06382978723404255,0.21875,-0.15492021276595747,0.2917933117359965,-1.3874249434901766,0.01998778140096125,analyze,compute|compute|simplify,1,3,0.08955223880597014,0.22580645161290322,0.27154549749148116,1.032258059797235,-0.13625421280693306,0.04620026345096478,0.15492021276595747,1.3874249434901766
analyze => compute|rewrite,3,12,21,0.1276595744680851,0.65625,-0.5285904255319149,0.19452887508351424,-2.512775548796793,2.8088147070843103e-08,analyze,compute|rewrite,1,2,0.1791044776119403,0.6774193548387096,0.9903424001429529,1.0322580629431644,-0.49831487722676937,4.1249450269752447e-07,0.5285904255319149,2.512775548796793
analyze => derive-intermediate|conclude,3,10,4,0.10638297872340426,0.125,-0.018617021276595744,0.8510638229787235,-0.23954958670131968,0.7515049857282363,analyze,derive-intermediate|conclude,1,2,0.14925373134328357,0.12903225806451613,0.41264266786706594,1.0322580562580645,0.020221473278767443,0.8306958336866956,0.018617021276595744,0.23954958670131968
analyze => apply-formula|rewrite|compute,4,35,2,0.3723404255319149,0.0625,0.3098404255319149,5.957446713191491,1.984992335668997,0.000598315175486095,analyze,apply-formula|rewrite|compute,1,3,0.5223880597014925,0.06451612903225806,1.4029850708588485,1.0322580480000003,0.45787193066923443,0.0024602720015988225,0.3098404255319149,1.984992335668997
analyze => apply-formula|simplify,3,31,6,0.32978723404255317,0.1875,0.14228723404255317,1.7588652388463357,0.7042901960235266,0.17746388619711367,analyze,apply-formula|simplify,1,2,0.4626865671641791,0.1935483870967742,1.402985070372653,1.0322580590107526,0.2691381800674049,0.29236037661960396,0.14228723404255317,0.7042901960235266
