motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
compute|compute|compute => apply-formula,4,3,14,0.031914893617021274,0.4375,-0.40558510638297873,0.07294832810073816,-3.0199539211283573,1.4228664942179933e-07,compute|compute|compute,apply-formula,3,1,0.075,0.56,0.10681818166604683,0.7791304336986012,-0.48500000000000004,1.4460783223643133e-06,0.40558510638297873,3.0199539211283573
instantiate|compute|compute => apply-formula,4,3,14,0.031914893617021274,0.4375,-0.40558510638297873,0.07294832810073816,-3.0199539211283573,1.4228664942179933e-07,instantiate|compute|compute,apply-formula,3,1,0.1875,0.56,0.2670454541651171,0.7791304336986012,-0.37250000000000005,1.4460783223643133e-06,0.40558510638297873,3.0199539211283573
analyze|compute => rewrite|conclude,4,12,17,0.1276595744680851,0.53125,-0.40359042553191493,0.24030037501700655,-2.0084305060366474,1.0974899381298942e-05,analyze|compute,rewrite|conclude,2,2,0.23529411764705882,0.68,0.3748753732811059,0.8703999988858881,-0.44470588235294123,6.559416606962391e-05,0.40359042553191493,2.0084305060366474
instantiate => compute|conclude,3,21,20,0.22340425531914893,0.625,-0.4015957446808511,0.3574468079387234,-1.723928712921281,5.830805961208324e-05,instantiate,compute|conclude,1,2,0.84,0.6896551724137931,1.0389473671360387,1.1034482740965519,0.15034482758620682,0.0002997034264061078,0.4015957446808511,1.723928712921281
instantiate|compute => conclude,3,21,20,0.22340425531914893,0.625,-0.4015957446808511,0.3574468079387234,-1.723928712921281,5.830805961208324e-05,instantiate|compute,conclude,2,1,0.9545454545454546,0.8,0.9752964416912486,0.9846153834035504,0.15454545454545454,0.0002997034264061078,0.4015957446808511,1.723928712921281
rewrite => compute|compute,3,27,22,0.2872340425531915,0.6875,-0.4002659574468085,0.4177949703787586,-1.6600816452528553,0.00011150838933888328,rewrite,compute|compute,1,2,0.4576271186440678,0.7586206896551724,0.7416715359107802,0.9336870015033667,-0.3009935710111046,0.0005564593409726797,0.4002659574468085,1.6600816452528553
rewrite|compute => compute,3,27,22,0.2872340425531915,0.6875,-0.4002659574468085,0.4177949703787586,-1.6600816452528553,0.00011150838933888328,rewrite|compute,compute,2,1,0.6428571428571429,0.9565217391304348,0.7747252737916316,1.1772575236346798,-0.3136645962732919,0.0005564593409726797,0.4002659574468085,1.6600816452528553
compute|compute => apply-formula,3,4,14,0.0425531914893617,0.4375,-0.3949468085106383,0.09726443746765089,-2.757650371271856,5.420470434747996e-07,compute|compute,apply-formula,2,1,0.06896551724137931,0.5384615384615384,0.09822361532510053,0.7491638785563473,-0.4694960212201591,4.88793298852714e-06,0.3949468085106383,2.757650371271856
compute|compute => apply-formula|compute,4,4,14,0.0425531914893617,0.4375,-0.3949468085106383,0.09726443746765089,-2.757650371271856,5.420470434747996e-07,compute|compute,apply-formula|compute,2,2,0.06896551724137931,0.5384615384615384,0.12965517217004138,1.013574658725579,-0.4694960212201591,4.88793298852714e-06,0.3949468085106383,2.757650371271856
analyze|compute|compute => apply-formula,4,4,14,0.0425531914893617,0.4375,-0.3949468085106383,0.09726443746765089,-2.757650371271856,5.420470434747996e-07,analyze|compute|compute,apply-formula,3,1,0.12903225806451613,0.56,0.18377321576954295,0.7791304336986012,-0.43096774193548393,4.88793298852714e-06,0.3949468085106383,2.757650371271856
instantiate => rewrite|apply-formula,3,7,15,0.07446808510638298,0.46875,-0.394281914893617,0.1588652478880378,-2.3353749158170363,3.0805267685325606e-06,instantiate,rewrite|apply-formula,1,2,0.28,0.5172413793103449,0.974814811421015,1.103448273508046,-0.23724137931034484,2.0042921000325774e-05,0.394281914893617,2.3353749158170363
analyze|instantiate => rewrite|apply-formula,4,7,15,0.07446808510638298,0.46875,-0.394281914893617,0.1588652478880378,-2.3353749158170363,3.0805267685325606e-06,analyze|instantiate,rewrite|apply-formula,2,2,0.2916666666666667,0.5172413793103449,1.015432095230224,1.103448273508046,-0.22557471264367818,2.0042921000325774e-05,0.394281914893617,2.3353749158170363
