motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
compute => derive-intermediate|conclude,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,compute,derive-intermediate|conclude,1,2,0.32051282051282054,0.0,0.886123677791456,0.0,0.32051282051282054,0.002143434670854555,0.26595744680851063,3.171738969489271
derive-intermediate => compute|simplify,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,derive-intermediate,compute|simplify,1,2,0.6857142857142857,0.0,1.9532467476829594,0.0,0.6857142857142857,0.002143434670854555,0.2553191489361702,3.1174476776280953
derive-intermediate => compute|simplify|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,derive-intermediate,compute|simplify|conclude,1,3,0.6857142857142857,0.0,1.9532467476829594,0.0,0.6857142857142857,0.002143434670854555,0.2553191489361702,3.1174476776280953
compute => derive-intermediate,2,26,1,0.2765957446808511,0.03125,0.24534574468085107,8.8510635465532,2.09483342544742,0.002351921147258749,compute,derive-intermediate,1,1,0.3333333333333333,0.038461538461538464,0.8952380928337415,0.24615384457846157,0.2948717948717948,0.008395051872854145,0.24534574468085107,2.09483342544742
compute|compute => derive-intermediate|conclude,4,23,0,0.24468085106382978,0.0,0.24468085106382978,244680851.06382975,3.0616902413457883,0.0009343197051874346,compute|compute,derive-intermediate|conclude,2,2,0.39655172413793105,0.0,1.0963488813502564,0.0,0.39655172413793105,0.0035578149238765988,0.24468085106382978,3.0616902413457883
derive-intermediate => conclude,2,34,4,0.3617021276595745,0.125,0.2367021276595745,2.89361699812766,1.284142649498849,0.013633648478417911,derive-intermediate,conclude,1,1,0.9714285714285714,0.8,0.9925465828368081,0.9846153834035504,0.17142857142857137,0.03351543503925386,0.2367021276595745,1.284142649498849
apply-formula => simplify|conclude,3,31,3,0.32978723404255317,0.09375,0.23603723404255317,3.5177304589314424,1.4305749347833474,0.010475789697409182,apply-formula,simplify|conclude,1,2,0.4696969696969697,0.13043478260869565,0.7612330186199872,0.521739128347826,0.33926218708827405,0.02775544280653773,0.23603723404255317,1.4305749347833474
analyze|apply-formula => simplify|conclude,4,31,3,0.32978723404255317,0.09375,0.23603723404255317,3.5177304589314424,1.4305749347833474,0.010475789697409182,analyze|apply-formula,simplify|conclude,2,2,0.4696969696969697,0.13636363636363635,0.7612330186199872,0.5454545432727271,0.33333333333333337,0.02775544280653773,0.23603723404255317,1.4305749347833474
analyze|apply-formula|simplify => conclude,4,31,3,0.32978723404255317,0.09375,0.23603723404255317,3.5177304589314424,1.4305749347833474,0.010475789697409182,analyze|apply-formula|simplify,conclude,3,1,1.0,0.5,1.0217391293908318,0.6153846146272189,0.5,0.02775544280653773,0.23603723404255317,1.4305749347833474
apply-formula|simplify => conclude,3,31,3,0.32978723404255317,0.09375,0.23603723404255317,3.5177304589314424,1.4305749347833474,0.010475789697409182,apply-formula|simplify,conclude,2,1,1.0,0.5,1.0217391293908318,0.6153846146272189,0.5,0.02775544280653773,0.23603723404255317,1.4305749347833474
compute => simplify|conclude,3,33,4,0.35106382978723405,0.125,0.22606382978723405,2.8085106158297877,1.2383349545168794,0.014671847484820226,compute,simplify|conclude,1,2,0.4230769230769231,0.15384615384615385,0.6856763914616757,0.6153846129230769,0.2692307692307692,0.03507595166138417,0.22606382978723405,1.2383349545168794
compute|simplify => conclude,3,33,4,0.35106382978723405,0.125,0.22606382978723405,2.8085106158297877,1.2383349545168794,0.014671847484820226,compute|simplify,conclude,2,1,1.0,0.5714285714285714,1.0217391293908318,0.7032967024311073,0.4285714285714286,0.03507595166138417,0.22606382978723405,1.2383349545168794
analyze|apply-formula => compute|compute,4,27,2,0.2872340425531915,0.0625,0.22473404255319152,4.59574460731915,1.6034943585332524,0.007674847646815283,analyze|apply-formula,compute|compute,2,2,0.4090909090909091,0.09090909090909091,0.6630094033141823,0.11188811175040345,0.31818181818181823,0.02098336005565455,0.22473404255319152,1.6034943585332524
analyze|apply-formula|compute => compute,4,27,2,0.2872340425531915,0.0625,0.22473404255319152,4.59574460731915,1.6034943585332524,0.007674847646815283,analyze|apply-formula|compute,compute,3,1,0.54,0.125,0.6507692299849706,0.15384615365680473,0.41500000000000004,0.02098336005565455,0.22473404255319152,1.6034943585332524
analyze => apply-formula|rewrite,3,44,8,0.46808510638297873,0.25,0.21808510638297873,1.8723404180425531,0.932122806945291,0.03786467938353405,analyze,apply-formula|rewrite,1,2,0.6567164179104478,0.25806451612903225,1.4029850716295793,1.0322580603870966,0.3986519017814155,0.0813338140538689,0.21808510638297873,0.932122806945291
apply-formula => rewrite,2,44,8,0.46808510638297873,0.25,0.21808510638297873,1.8723404180425531,0.932122806945291,0.03786467938353405,apply-formula,rewrite,1,1,0.6666666666666666,0.34782608695652173,1.0621468909631333,0.3838080955285116,0.3188405797101449,0.0813338140538689,0.21808510638297873,0.932122806945291
